,total_agr_land,workforce,trees,arable_land,ley,perm_grass,perm_crops,prot_cult,oth_land,qual_landscape,spec_crops,grapes,vegetables,fruits,oth_spec_crops,animal_unit,cattle_animal_unit,dairy_cows,suckler_cows,hor_shee_goa,pigs_poultry,pigs,poultry,eco_proof,organic,farmtype,region,age,educ,cons_general,percep_hail,percep_drought,percep_frost,percep_heavyrain,percep_longrain,percep_heat,cons_farm,self_reduc,self_act,self_cap,self_conf,self_not,plough,plough_eff,plough_imag,activ_dairy,activ_cattle,activ_pig,activ_poultry,activ_arab,activ_special,activ_nonag,attain_ghg,attain_yield,attain_biodiv,attain_soil,attain_incom,attain_acknow,innov_pion,innov_early,innov_thorou,innov_others,innov_trad,satisf_ldw,thresh_ldw,satisf_total,thresh_total,share,others_opinions,soc_impr,soc_inc,soc_env,lott_1,lott_2,lott_3,network,GHG_goal,env_goal,biodiv_goal,acknow_goal,yield_goal,income_goal
0,4925.0,1.95406,79,3871,107,793,140,0,165,0,140,140,0,0,0,3.925,3.925,0.0,0.9973,0.0,0.0,0.0,0.0,1.0,0.0,0,0,62.0,1,4,2,2,2,1,2,2,4,1,4,1,1,4,2,,0.0,5,1,5,5,1,1,4,4,5,4,5,4,5,1,2,4,3,3,2,6,3,5,4,4,2,2,3,8,12,3,2,1,5,6,4,3,2
1,2176.0,6.6131,12,1671,0,98,338,119,93,0,2088,0,1790,0,338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,53.0,2,5,3,2,2,3,3,3,5,3,3,2,2,2,2,1.0,1.0,5,5,5,5,5,1,5,5,5,3,5,5,5,2,2,3,3,2,5,6,5,5,4,1,1,4,3,1,2,3,1,3,4,2,1,6,5
2,2251.0,1.39384,31,1507,279,380,81,0,512,0,81,81,0,0,0,15.9528,15.9028,14.6137,0.0,0.0,0.05,0.0,0.05,1.0,0.0,0,0,60.0,2,4,2,3,1,1,1,3,4,2,1,2,3,1,2,1.0,0.0,2,3,5,5,1,2,2,3,4,4,5,4,3,1,1,4,2,4,4,6,4,4,4,4,2,4,2,3,9,8,3,1,4,2,3,6,5
3,2389.0,1.99523,3,1969,71,322,0,0,350,0,0,0,0,0,0,52.9,0.0,0.0,0.0,0.0,52.9,0.0,52.9,1.0,0.0,0,1,62.0,2,4,2,2,2,2,2,2,4,3,3,4,4,2,2,2.0,0.0,4,3,4,1,1,1,2,4,4,4,4,5,3,2,3,3,4,4,5,9,5,7,4,2,1,3,2,6,9,4,1,2,5,4,1,3,6
4,3205.0,3.09942,39,1911,675,461,117,0,112,0,117,0,0,0,117,56.5108,54.9184,40.3041,0.0,1.3424,0.25,0.0,0.25,1.0,0.0,0,0,57.0,1,5,2,3,2,2,1,3,4,1,2,2,2,2,2,1.0,0.0,1,5,5,5,1,1,1,3,4,3,5,5,3,1,2,3,4,1,1,6,3,4,4,3,1,1,3,7,7,3,3,1,6,3,2,5,4
5,4912.0,12.24688,159,3188,268,1145,45,145,229,0,2899,0,2920,15,168,11.29,0.0,0.0,0.0,5.63,5.66,5.55,0.11,1.0,1.0,2,2,,1,4,2,2,2,2,1,2,4,3,3,2,3,4,2,3.0,0.0,5,5,2,2,1,1,2,5,2,5,5,2,1,3,3,3,5,5,1,10,1,7,4,1,3,2,4,6,9,1,4,4,6,5,1,2,3
6,3113.0,1.25375,5,2355,0,156,0,0,32,0,189,0,798,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,53.0,1,5,2,2,1,1,1,3,4,4,3,2,3,3,1,4.0,,5,5,5,5,1,2,2,4,3,4,5,5,4,2,2,4,2,3,2,5,3,4,3,5,4,3,3,8,8,4,4,4,6,5,1,2,3
7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,3,,2,2,1,2,3,1,2,2,2,2,4,4,4,4,2,2.0,0.0,2,1,4,4,1,1,1,4,3,4,4,4,2,3,4,3,4,4,3,7,4,6,3,2,1,1,4,10,12,7,10,5,3,4,1,2,6
8,3095.0,3.61309,88,1609,458,940,88,0,493,0,305,88,761,0,0,48.7596,48.6896,38.1781,0.0,0.0,0.07,0.0,0.07,1.0,0.0,0,4,,2,5,2,2,2,2,2,3,4,2,2,1,2,2,2,3.0,0.0,2,4,5,5,1,1,2,2,3,4,5,4,4,3,3,3,4,4,3,7,3,5,4,4,2,3,1,3,2,8,1,2,3,5,6,1,4
9,330.0,0.26757,29,0,102,177,31,0,322,0,31,28,0,3,0,2.1,0.0,0.0,0.0,2.1,0.0,0.0,0.0,1.0,0.0,0,1,56.0,4,3,1,1,1,1,1,1,3,1,1,1,1,1,2,1.0,0.0,5,5,5,5,4,1,1,1,3,2,5,1,5,1,1,1,5,1,5,5,5,1,1,1,1,1,1,15,15,8,1,1,6,5,3,4,2
